ID,Rating,Votes,Title,Author
30462328,9.6,165,顔真卿：王羲之を超えた名筆,東京国立博物館
1082288,8.6,381,秘密花园,［美］弗朗丝·哈德森·伯纳特
2032285,8.6,381,莫泊桑中短篇小说选,(法)莫泊桑
5376960,8.6,381,成人之美兮,梁卫星
6313462,8.6,381,礼拜五或太平洋上的灵薄狱,米歇尔·图尔尼埃
10570096,8.6,381,城市与群星,[英] 亚瑟·克拉克
2247138,7.0,3152,爱的流放地,
1168737,8.4,466,妇女乐园,[法]左拉 Emile Zola
1852591,8.4,466,君王论,马基雅维利
3128876,8.4,466,反抗绝望,汪晖
4924164,8.4,466,软件开发者路线图,Dave H. Hoover / Adewale Oshineye
27055278,8.4,466,视觉012：我们是不是非要那么急迫不可,
3292848,7.9,823,于忧郁的明天升上天空,
25859542,7.9,823,耶鲁大学公开课:死亡,[美]谢利·卡根
1740315,8.3,518,建筑的非线性设计,（日）伊东丰雄建筑设计事务所
25985000,8.3,518,虞美人草,[日] 夏目漱石
1080905,8.7,346,爱的教育,
10576145,8.7,346,无国界医生手记,无国界医生志愿工作者
26032227,7.5,1407,金融的解释,王福重
1101417,9.0,264,信号与系统,
1461086,9.0,264,Der Vorleser,Bernhard Schlink
1678478,9.0,264,纳兰词,纳兰性德
1940607,9.0,264,幻灭,巴尔扎克
3654011,9.0,264,毛毛-时间窃贼和一个小女孩的不可思议的故事,(德)恩德
4881692,9.0,264,了凡四训讲记,(明)袁了凡
25767901,9.0,264,100层的巴士,【英】麦克·史密斯
1119051,7.9,822,越界（上/下）,（日）桐野夏生
2972538,8.9,288,民主转型与巩固的问题,胡安·J·林茨 / 阿尔弗莱德·斯泰潘
26971561,8.9,288,Redis开发与运维,
1916614,7.7,1064,我，十三岁，妓女，吸毒者……,[西德] 凯·赫尔曼 / 霍斯特·里克 整理
1054127,8.5,420,康熙大帝(4)-乱起萧墙,二月河
1061280,8.5,420,意象的暗记,
1119635,8.8,315,大国之魂,
1440400,8.8,315,海浪,弗吉尼亚·吴尔夫
2074655,8.8,315,毛泽东选集（一卷本）,毛泽东
24846685,8.8,315,拉奥孔,[德]莱辛
1383031,9.4,191,The Myth of Sisyphus,
27044827,9.4,191,声律启蒙,车万育 / 齐白石
30367453,9.4,191,黄昏的诉说,
1213892,8.2,577,简爱,夏・勃朗特
3669399,8.2,577,拥抱逝水年华,
25850045,8.2,577,Flash Boys,
1056144,7.5,1405,中的精神,
1119156,8.3,517,古代汉语（上）,
1961661,8.3,517,叶嘉莹说阮籍咏怀诗,叶嘉莹
1042661,7.7,1063,无影灯,
6806555,7.7,1063,苹果笔记本,(英)珍妮特·温特森
3264135,8.1,646,武田信玄（上下）,（日）新田次郎
3822989,8.1,646,旧时风物,赵珩
27141473,8.1,646,在这世界的角落,[日] 河野史代 / [日] 莳田阳平
26811334,7.2,2230,疼,孙频
2969111,7.6,1218,情未了,
2269648,8.6,380,正则表达式必知必会,
26710726,8.6,380,乌镇剧院：并蒂,
30384422,8.6,380,臣服实验,
1093818,9.5,177,莎士比亚全集（五）,莎士比亚
1372334,9.5,177,Illuminations,
12434051,9.5,177,昭和元禄落語心中 3,雲田はるこ
27139942,9.5,177,小约翰,
30325311,9.5,177,来路孤独，常有欢喜,
3142174,7.8,931,草样年华,
2973228,7.9,820,蔡澜谈倪匡,蔡澜
3568846,7.9,820,太子 2,
1999958,7.4,1626,奴才 上,
3242187,8.7,345,黑白无双（05、06）,于彦舒
20500693,8.7,345,寻找黑骑士,
26911464,8.7,345,雾都孤儿,
1401099,9.3,206,The Prophet,
1418450,9.3,206,豐饒之海四部曲,三島由紀夫
3854851,9.3,206,金庸作品集（36册）,金庸
3928815,9.3,206,理解国际冲突,（美）小约瑟夫·奈
4197707,9.3,206,康德三大批判合集（上下）,康德
10540291,9.3,206,经济学（第十九版）,[美] 保罗·萨缪尔森 / [美] 威廉·诺德豪斯
27081847,9.3,206,命运规划局,[美] 菲利普·迪克
27112663,9.8,143,契诃夫戏剧全集,[俄] 安东尼·巴甫洛维奇·契诃夫
1007897,9.2,223,陈寅恪先生编年事辑,蒋天枢
1170050,9.2,223,埃斯库罗斯悲剧三种 索福克勒斯悲剧四种,
6856425,9.2,223,聖☆哥傳 04,中村光
25736477,9.2,223,德意志文学简史,【德】H. 史腊斐（Heinz Schlaffer）
26616500,9.2,223,先知·沙与沫：纪伯伦诗文集,〔黎巴嫩〕纪伯伦
26844660,9.2,223,经典摇滚音乐指南·齐柏林飞艇,[英] 英国UNCUT编辑部
2135577,7.3,1896,马夫 上,
4160236,7.3,1896,叹息桥,
1052027,8.1,645,禅宗与道家,南怀瑾
1001349,8.3,516,请理解我,[美] David Keirsey
1933497,8.3,516,一只会开枪的狮子,(美)谢尔·希尔弗斯坦
4882061,8.3,516,风之影,[西]卡洛斯·鲁依斯·萨丰
30337614,8.3,516,是梦,
3410745,8.5,419,中国士绅,费孝通
6756124,8.5,419,危险的边疆,[美] 托马斯·巴菲尔德
19967325,8.5,419,读书随感,(德)赫尔曼·黑塞
24742929,8.5,419,碎琉璃,
27600034,8.5,419,美国佬,[尼日利亚] 奇玛曼达·恩戈兹·阿迪契
33446823,8.5,419,民族的重建,[美]蒂莫西·斯奈德
2043242,7.8,930,洛杉机BB连续杀人事件,
23231123,8.4,464,到灯塔去,弗吉尼亚·伍尔夫
25855770,8.0,725,就因為「沒時間」，才什麼都能辦到,吉田穂波
1754448,7.9,819,甲贺忍法帖,
3350460,8.8,314,雷雨.日出,
3464392,8.8,314,城南旧事,林海音
26708760,8.8,314,死亡的脸,[美]舍温·努兰（Sherwin Nuland）
3244004,7.5,1400,星辰变4,
11584608,7.5,1400,世界和其他地方,[英] 珍妮特·温特森
1273587,8.9,287,大地上的事情,苇岸
1049180,8.1,644,法斯宾德论电影,[德]忒特贝尔格 编
4898543,8.1,644,政治少年之死,(日) 大江健三郎
1448961,9.0,263,艺术与归家,余虹
2221899,9.0,263,先知,纪伯伦
19976927,9.0,263,公园里的声音,
26772930,9.0,263,大理寺日志 卷1,RC
27168017,9.0,263,Killing stalking: 2,
2159228,8.6,379,死神10,
4828875,8.6,379,Python Cookbook,
30205166,8.6,379,爱的缓刑,
4277650,7.2,2222,结爱·异客逢欢,
1028550,7.6,1214,欲望的鸵鸟,
3243100,7.5,1399,奉命谋杀,
4115076,7.9,818,伍迪·艾伦与哲学,(美)马克·T.科纳尔 / 伊恩·J.斯考伯
6558047,7.9,818,胡吃乱想,胡续冬
24859467,8.4,463,谁说了算？,[美]迈克尔·S.加扎尼加（Michael S. Gazzaniga）
1031355,8.7,344,狗的家世,(奥)劳伦兹
2043304,8.7,344,いつか雨が降るように,国枝 彩香
3803518,8.7,344,日落共青城,
4827216,8.7,344,明明白白看年报,
26942707,8.7,344,游戏化实战,
10618254,7.9,817,文艺风象·雨天爱好者,
6017065,8.1,643,十里红莲艳酒2,
24755048,8.1,643,当Bob来敲门,[英]詹姆斯·波文(James Bowen)
30302906,7.6,1212,北上,徐则臣
4090968,8.2,574,监控,
2027891,9.6,164,狼王洛波,(加拿大)西顿
1883343,8.0,723,出嫁誓从夫,
25891329,8.3,514,心法,[日]稻盛和夫
26808763,8.3,514,奥古斯都,[英] 阿德里安·戈兹沃西
27053610,8.3,514,大理外传,[英]万哲生
23860530,9.4,190,动物农庄,
